Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2002,.77,.79,.88,.58,.64,.53,.61,.53,.63,.54,.59,.44,.63,.64,.71,.70,.56,.58
2003,.75,.58,.59,.55,.60,.48,.58,.65,.62,.73,.53,.75,.62,.59,.59,.58,.57,.62
2004,.58,.72,.63,.61,.38,.44,.26,.46,.50,.60,.72,.51,.53,.55,.68,.54,.39,.61
2005,.74,.60,.74,.68,.63,.64,.61,.60,.71,.75,.73,.68,.68,.66,.62,.68,.62,.73
2006,.56,.73,.63,.48,.49,.66,.54,.70,.65,.69,.74,.79,.64,.63,.66,.53,.63,.69
2007,1.02,.70,.73,.76,.69,.61,.60,.60,.60,.58,.58,.49,.66,.69,.84,.73,.60,.59
2008,.30,.38,.74,.54,.49,.49,.60,.47,.61,.67,.69,.54,.54,.54,.39,.59,.52,.66
2009,.65,.53,.54,.61,.65,.65,.73,.68,.72,.65,.79,.68,.66,.64,.57,.60,.69,.72
2010,.75,.83,.92,.85,.75,.67,.62,.67,.63,.70,.81,.45,.72,.74,.75,.84,.65,.71
2011,.51,.48,.65,.65,.53,.62,.70,.75,.57,.66,.58,.60,.61,.60,.48,.61,.69,.60
2012,.49,.49,.58,.72,.78,.64,.58,.65,.72,.79,.78,.53,.65,.65,.53,.70,.63,.77
2013,.70,.62,.67,.54,.61,.69,.60,.69,.77,.69,.84,.70,.68,.66,.62,.61,.66,.77
2014,.75,.55,.78,.80,.86,.67,.58,.83,.88,.81,.66,.79,.75,.74,.67,.81,.69,.78
2015,.85,.90,.96,.75,.80,.81,.73,.80,.85,1.10,1.06,1.16,.90,.87,.85,.84,.78,1.00
2016,1.17,1.37,1.36,1.11,.95,.80,.85,1.02,.90,.89,.92,.87,1.02,1.04,1.23,1.14,.89,.90
2017,1.02,1.14,1.17,.94,.91,.72,.82,.87,.77,.90,.88,.94,.92,.92,1.01,1.01,.80,.85
2018,.81,.85,.89,.88,.83,.78,.83,.77,.80,1.02,.83,.92,.85,.85,.87,.87,.79,.88
2019,.93,.95,1.18,1.01,.85,.91,.94,.95,.92,1.01,.99,1.09,.98,.96,.93,1.01,.93,.98
2020,1.16,1.24,1.17,1.13,1.02,.92,.91,.87,.99,.89,1.11,.82,1.02,1.04,1.17,1.11,.90,1.00
2021,.82,.65,.89,.76,.79,.85,.93,.81,.92,.99,.93,.86,.85,.85,.76,.81,.86,.95
2022,.91,.90,***,***,***,***,***,***,***,***,***,***,***,***,.89,***,***,***
